"Id","SalePrice"
1461,146966.405284616
1462,138454.552802773
1463,197115.659611008
1464,209369.947847795
1465,173131.347964761
1466,174819.329651843
1467,174121.381691204
1468,164380.341149158
1469,171547.123490395
1470,126321.137722982
1471,199416.206235273
1472,94482.9047317907
1473,100331.797872114
1474,149879.140893543
1475,109102.882487745
1476,368965.022883575
1477,247245.742733796
1478,290352.689001375
1479,304652.775171883
1480,501892.532249817
1481,335567.338576107
1482,186131.360183276
1483,165695.056114972
1484,172355.716233815
1485,195861.376290492
1486,185870.008387179
1487,325001.750795947
1488,234444.429736991
1489,194522.813792228
1490,245241.962323607
1491,183635.654284835
1492,86971.3207486941
1493,192978.237170239
1494,308673.583381172
1495,292314.478187133
1496,249186.226342691
1497,187074.120729922
1498,161389.629247679
1499,172958.752968789
1500,163605.024882018
1501,180298.532572506
1502,145360.745431177
1503,290629.056987649
1504,258616.735087658
1505,232072.252421925
1506,226991.279473878
1507,250233.599824751
1508,199682.503894855
1509,166551.512241333
1510,144813.710129133
1511,148117.89127807
1512,191608.596016751
1513,143704.093462817
1514,163634.198064622
1515,203024.944557122
1516,152981.168549027
1517,166165.943450333
1518,133428.045487418
1519,218686.840898233
1520,133966.635153922
1521,130195.417326773
1522,185846.971828361
1523,112185.968355982
1524,120084.398143087
1525,126705.190018713
1526,112017.199838901
1527,105787.454136525
1528,125551.0862959
1529,156044.856060869
1530,202147.943080979
1531,112511.974744209
1532,102742.280738495
1533,133461.432757927
1534,111303.563879139
1535,138501.026532901
1536,102774.25884355
1537,67001.8858939581
1538,139109.334370686
1539,198245.050587337
1540,79435.5251647736
1541,132217.239026637
1542,135726.982439882
1543,187059.84009191
1544,90241.7076493896
1545,108231.941438051
1546,129933.00467178
1547,141032.576989532
1548,119359.232898779
1549,100175.623025444
1550,141401.571601675
1551,110340.805962798
1552,142228.927818142
1553,141047.132858458
1554,120651.261597074
1555,171912.910575035
1556,103052.902691046
1557,99938.9925778523
1558,92598.4294793752
1559,58109.7337407165
1560,150538.506454715
1561,136028.076892582
1562,122953.265922288
1563,114955.962704236
1564,148761.077888045
1565,145981.240038919
1566,219764.43572883
1567,87912.064311473
1568,215122.724736634
1569,124374.472169152
1570,127025.111973047
1571,129671.013877671
1572,133757.70608871
1573,200496.626935136
1574,107915.912418956
1575,203122.475584516
1576,269240.513982579
1577,177492.854431581
1578,161529.774958542
1579,131579.437170626
1580,187003.344849943
1581,135393.632318808
1582,126738.221525275
1583,330289.589485933
1584,221844.303736276
1585,134773.224405247
1586,66894.3765074863
1587,105723.180927767
1588,166633.601064546
1589,107108.286140283
1590,125167.476397723
1591,101617.159964845
1592,126674.380272002
1593,126409.612964279
1594,127833.12007328
1595,122027.486327991
1596,241045.230729984
1597,184159.999384255
1598,200748.468533082
1599,174945.738998933
1600,139583.166878855
1601,62158.7490505595
1602,114049.518221992
1603,49741.420302589
1604,265205.165129828
1605,267661.621667307
1606,155761.313000242
1607,189992.832348371
1608,203386.536885255
1609,188168.03282941
1610,153965.804687952
1611,139323.280485776
1612,172306.164802479
1613,183912.192998253
1614,149157.59788409
1615,86876.2219378713
1616,74250.573195444
1617,102022.830162048
1618,117990.362266788
1619,129557.769409829
1620,188984.301363712
1621,132619.939164267
1622,143231.135112808
1623,293412.417782481
1624,215362.004072362
1625,115556.170082814
1626,172139.354558685
1627,196971.123193918
1628,299168.241721443
1629,182600.431531019
1630,319729.803566856
1631,205447.565187123
1632,228604.760713525
1633,176807.319245331
1634,208873.607900719
1635,184692.74037408
1636,156811.088730366
1637,201787.892419975
1638,178255.856752444
1639,194488.91590157
1640,259629.487633667
1641,181984.731716841
1642,271427.651620233
1643,227237.102986313
1644,222719.181254952
1645,202701.655840494
1646,166452.502010497
1647,149853.45230253
1648,129999.179803041
1649,130535.534067028
1650,120760.79622456
1651,124162.60244771
1652,99088.2862941036
1653,104805.653636074
1654,154235.07200797
1655,139658.92105976
1656,140963.888001314
1657,148798.607702435
1658,142913.104292047
1659,115185.771913176
1660,156872.766508375
1661,411273.600549899
1662,391311.167848556
1663,360924.679377846
1664,208411.275263443
1665,277160.459060117
1666,307628.796539802
1667,342786.099386158
1668,315401.588688508
1669,291079.669472666
1670,369646.876781188
1671,253372.363658425
1672,275390.114929124
1673,291663.086354766
1674,226418.74162246
1675,184975.182700372
1676,183037.911021194
1677,208833.91315554
1678,441174.871128991
1679,453289.779555166
1680,356188.771577859
1681,228149.673662891
1682,298057.124918886
1683,185968.700986566
1684,177616.41387974
1685,170552.353906379
1686,173361.697127595
1687,176203.779252375
1688,185758.79523381
1689,188303.124452977
1690,195495.541892257
1691,180839.091882164
1692,254885.871790987
1693,172689.822499892
1694,186800.339086701
1695,170180.58871338
1696,299153.735993105
1697,180574.418258362
1698,329786.56937834
1699,291461.285803645
1700,242101.246732105
1701,279630.656621014
1702,231725.659757468
1703,228649.492639374
1704,271804.346679247
1705,223002.741974189
1706,443329.384587384
1707,224251.569937698
1708,200505.693653314
1709,243509.849626881
1710,217640.682652356
1711,245408.238205959
1712,288015.850620357
1713,283183.126038279
1714,228926.282344479
1715,206228.963597809
1716,181028.154183993
1717,171923.76529472
1718,123074.349263379
1719,200869.182803291
1720,244277.28153712
1721,164512.779627732
1722,124117.179410265
1723,161913.830178974
1724,221984.914027216
1725,261062.119010986
